refseq,igenomes,ensembl,ucsc,mitra,seqlength
NC_001133.9,I,I,chrI,NC_001133,230218
NC_001134.8,II,II,chrII,NC_001134,813184
NC_001135.5,III,III,chrIII,NC_001135,316620
NC_001136.10,IV,IV,chrIV,NC_001136,1531933
NC_001137.3,V,V,chrV,NC_001137,576874
NC_001138.5,VI,VI,chrVI,NC_001138,270161
NC_001139.9,VII,VII,chrVII,NC_001139,1090940
NC_001140.6,VIII,VIII,chrVIII,NC_001140,562643
NC_001141.2,IX,IX,chrIX,NC_001141,439888
NC_001142.9,X,X,chrX,NC_001142,745751
NC_001143.9,XI,XI,chrXI,NC_001143,666816
NC_001144.5,XII,XII,chrXII,NC_001144,1078177
NC_001145.3,XIII,XIII,chrXIII,NC_001145,924431
NC_001146.8,XIV,XIV,chrXIV,NC_001146,784333
NC_001147.6,XV,XV,chrXV,NC_001147,1091291
NC_001148.4,XVI,XVI,chrXVI,NC_001148,948066
NC_001224.1,MT,Mito,chrM,NC_001224,85779
RDM_2,RDM_2,RDM_2,RDM_2,RDM_2,6018
RDM_3,RDM_3,RDM_3,RDM_3,RDM_3,9013
RDM_5,RDM_5,RDM_5,RDM_5,RDM_5,11450
